group,level,label,count,n,prevalence
repository:affaan-m/everything-claude-code,pattern,add-activation-criterion,9,155,0.05806451612903226
repository:affaan-m/everything-claude-code,pattern,add-consent-gate,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,add-decision-rule,7,155,0.04516129032258064
repository:affaan-m/everything-claude-code,pattern,add-design-principle,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,add-eval-suite-resource,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,add-example,7,155,0.04516129032258064
repository:affaan-m/everything-claude-code,pattern,add-hard-constraint,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,add-instruction-guardrail,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,pattern,add-output-asset,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,add-output-format-spec,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,pattern,add-platform-specific-branch,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,add-precondition-check,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,add-priority-hierarchy,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,add-procedure-step,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,pattern,add-prompt-template-resource,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,add-reference-doc,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,add-review-round,1,155,0.0064516129032258064
repository:affaan-m/everything-claude-code,pattern,add-scoring-rubric,5,155,0.03225806451612903
repository:affaan-m/everything-claude-code,pattern,add-sub-workflow,7,155,0.04516129032258064
repository:affaan-m/everything-claude-code,pattern,add-template,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,add-tool-config,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,add-voice-rule,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,change-artifact-storage,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,fix-skill-instruction-bug,13,155,0.08387096774193549
repository:affaan-m/everything-claude-code,pattern,integrate-external-system,3,155,0.01935483870967742
repository:affaan-m/everything-claude-code,pattern,modify-skill-metadata,43,155,0.27741935483870966
repository:affaan-m/everything-claude-code,pattern,personalize-defaults,10,155,0.06451612903225806
repository:affaan-m/everything-claude-code,pattern,relax-constraint,4,155,0.025806451612903226
repository:affaan-m/everything-claude-code,pattern,remove-auxiliary-file,5,155,0.03225806451612903
repository:affaan-m/everything-claude-code,pattern,remove-procedure-step,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,rename-or-reorganize-structure,7,155,0.04516129032258064
repository:affaan-m/everything-claude-code,pattern,reorder-steps,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,retarget-domain-stack,22,155,0.14193548387096774
repository:affaan-m/everything-claude-code,pattern,retarget-host-tooling,4,155,0.025806451612903226
repository:affaan-m/everything-claude-code,pattern,retarget-version-api,5,155,0.03225806451612903
repository:affaan-m/everything-claude-code,pattern,script-add-feature,17,155,0.10967741935483871
repository:affaan-m/everything-claude-code,pattern,script-add-input-validation,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,script-add-safety-guard,11,155,0.07096774193548387
repository:affaan-m/everything-claude-code,pattern,script-fix-logic-bug,13,155,0.08387096774193549
repository:affaan-m/everything-claude-code,pattern,script-fix-platform-compat,13,155,0.08387096774193549
repository:affaan-m/everything-claude-code,pattern,script-optimize,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,script-refactor,5,155,0.03225806451612903
repository:affaan-m/everything-claude-code,pattern,style-or-format-content,6,155,0.03870967741935484
repository:affaan-m/everything-claude-code,pattern,swap-execution-model,0,155,0.0
repository:affaan-m/everything-claude-code,pattern,tighten-instruction-wording,2,155,0.012903225806451613
repository:affaan-m/everything-claude-code,pattern,translate-skill-content,35,155,0.22580645161290322
exclude:affaan-m/everything-claude-code,family,decision,270,971,0.2780638516992791
exclude:affaan-m/everything-claude-code,family,fix,83,971,0.0854788877445932
exclude:affaan-m/everything-claude-code,family,guardrail,20,971,0.02059732234809475
exclude:affaan-m/everything-claude-code,family,lifecycle,374,971,0.38516992790937177
exclude:affaan-m/everything-claude-code,family,personalize,28,971,0.028836251287332648
exclude:affaan-m/everything-claude-code,family,policy,261,971,0.2687950566426365
exclude:affaan-m/everything-claude-code,family,polish,43,971,0.044284243048403706
exclude:affaan-m/everything-claude-code,family,procedure,440,971,0.45314109165808447
exclude:affaan-m/everything-claude-code,family,resource,181,971,0.18640576725025745
exclude:affaan-m/everything-claude-code,family,retarget,154,971,0.15859938208032956
exclude:affaan-m/everything-claude-code,family,script,140,971,0.14418125643666324
exclude:affaan-m/everything-claude-code,family,spec,120,971,0.12358393408856849
exclude:affaan-m/everything-claude-code,family,style,6,971,0.006179196704428424
exclude:affaan-m/everything-claude-code,pattern,add-activation-criterion,41,971,0.042224510813594233
exclude:affaan-m/everything-claude-code,pattern,add-consent-gate,59,971,0.0607621009268795
exclude:affaan-m/everything-claude-code,pattern,add-decision-rule,163,971,0.1678681771369722
exclude:affaan-m/everything-claude-code,pattern,add-design-principle,42,971,0.04325437693099897
