group,surface,count,n,prevalence
exclude:vercel-labs/agent-skills,assets,25,1079,0.023169601482854494
exclude:vercel-labs/agent-skills,configuration,43,1079,0.03985171455050973
exclude:vercel-labs/agent-skills,examples,95,1079,0.08804448563484708
exclude:vercel-labs/agent-skills,additional files,435,1079,0.4031510658016682
exclude:vercel-labs/agent-skills,additional directories,30,1079,0.027803521779425393
single_skill,SKILL.md,295,460,0.6413043478260869
single_skill,README.md,16,460,0.034782608695652174
single_skill,LICENSE.txt,2,460,0.004347826086956522
single_skill,AGENTS.md,15,460,0.03260869565217391
single_skill,agents/,7,460,0.015217391304347827
single_skill,scripts,132,460,0.28695652173913044
single_skill,references,44,460,0.09565217391304348
single_skill,assets,7,460,0.015217391304347827
single_skill,configuration,23,460,0.05
single_skill,examples,6,460,0.013043478260869565
single_skill,additional files,98,460,0.21304347826086956
single_skill,additional directories,7,460,0.015217391304347827
single_retained_commit,SKILL.md,305,423,0.7210401891252955
single_retained_commit,README.md,9,423,0.02127659574468085
single_retained_commit,LICENSE.txt,2,423,0.004728132387706856
single_retained_commit,AGENTS.md,7,423,0.016548463356973995
single_retained_commit,agents/,3,423,0.0070921985815602835
single_retained_commit,scripts,101,423,0.23877068557919623
single_retained_commit,references,46,423,0.10874704491725769
single_retained_commit,assets,7,423,0.016548463356973995
single_retained_commit,configuration,11,423,0.026004728132387706
single_retained_commit,examples,24,423,0.05673758865248227
single_retained_commit,additional files,126,423,0.2978723404255319
single_retained_commit,additional directories,5,423,0.01182033096926714
single_skill_and_retained_commit,SKILL.md,157,253,0.6205533596837944
single_skill_and_retained_commit,README.md,7,253,0.02766798418972332
single_skill_and_retained_commit,LICENSE.txt,0,253,0.0
single_skill_and_retained_commit,AGENTS.md,6,253,0.023715415019762844
single_skill_and_retained_commit,agents/,1,253,0.003952569169960474
single_skill_and_retained_commit,scripts,77,253,0.30434782608695654
single_skill_and_retained_commit,references,16,253,0.06324110671936758
single_skill_and_retained_commit,assets,1,253,0.003952569169960474
single_skill_and_retained_commit,configuration,8,253,0.03162055335968379
single_skill_and_retained_commit,examples,3,253,0.011857707509881422
single_skill_and_retained_commit,additional files,44,253,0.17391304347826086
single_skill_and_retained_commit,additional directories,2,253,0.007905138339920948
